image,dex_id,pokemon_name,total,hp,attack,defense,sp_atk,sp_def,speed
https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,1,Bulbasaur,318,45,49,49,65,65,45
https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,2,Ivysaur,405,60,62,63,80,80,60
https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,3,Venusaur,525,80,82,83,100,100,80
https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,4,Charmander,309,39,52,43,60,50,65
https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,5,Charmeleon,405,58,64,58,80,65,80
https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,6,Charizard,534,78,84,78,109,85,100
https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,7,Squirtle,314,44,48,65,50,64,43
https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,8,Wartortle,405,59,63,80,65,80,58
https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,9,Blastoise,530,79,83,100,85,105,78
https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,10,Caterpie,195,45,30,35,20,20,45
https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,11,Metapod,205,50,20,55,25,25,30
https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,12,Butterfree,395,60,45,50,90,80,70
https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,13,Weedle,195,40,35,30,20,20,50
https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,14,Kakuna,205,45,25,50,25,25,35
https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,15,Beedrill,395,65,90,40,45,80,75
https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,16,Pidgey,251,40,45,40,35,35,56
https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,17,Pidgeotto,349,63,60,55,50,50,71
https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,18,Pidgeot,479,83,80,75,70,70,101
https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,19,Rattata,253,30,56,35,25,35,72
https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,20,Raticate,413,55,81,60,50,70,97
https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,21,Spearow,262,40,60,30,31,31,70
https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png,22,Fearow,442,65,90,65,61,61,100
https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png,23,Ekans,288,35,60,44,40,54,55
https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png,24,Arbok,448,60,95,69,65,79,80
https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,25,Pikachu,320,35,55,40,50,50,90
